cat_no,neubauer_HATHI,neubauer_HATHI_link,beit-arie_HATHI,beit-arie_HATHI_link
1,37,https://babel.hathitrust.org/cgi/pt?id=mdp.39015034251762&seq=37,57,https://babel.hathitrust.org/cgi/pt?id=uva.x002588168&seq=57
2,37,https://babel.hathitrust.org/cgi/pt?id=mdp.39015034251762&seq=37,57,https://babel.hathitrust.org/cgi/pt?id=uva.x002588168&seq=57
3,37,https://babel.hathitrust.org/cgi/pt?id=mdp.39015034251762&seq=37,57,https://babel.hathitrust.org/cgi/pt?id=uva.x002588168&seq=57
4,37,https://babel.hathitrust.org/cgi/pt?id=mdp.39015034251762&seq=37,57,https://babel.hathitrust.org/cgi/pt?id=uva.x002588168&seq=57
5,37,https://babel.hathitrust.org/cgi/pt?id=mdp.39015034251762&seq=37,57,https://babel.hathitrust.org/cgi/pt?id=uva.x002588168&seq=57
6,37,https://babel.hathitrust.org/cgi/pt?id=mdp.39015034251762&seq=37,57,https://babel.hathitrust.org/cgi/pt?id=uva.x002588168&seq=57
7,37,https://babel.hathitrust.org/cgi/pt?id=mdp.39015034251762&seq=37,57,https://babel.hathitrust.org/cgi/pt?id=uva.x002588168&seq=57
8,37,https://babel.hathitrust.org/cgi/pt?id=mdp.39015034251762&seq=37,57,https://babel.hathitrust.org/cgi/pt?id=uva.x002588168&seq=57
9,38,https://babel.hathitrust.org/cgi/pt?id=mdp.39015034251762&seq=38,57,https://babel.hathitrust.org/cgi/pt?id=uva.x002588168&seq=57
10,38,https://babel.hathitrust.org/cgi/pt?id=mdp.39015034251762&seq=38,57,https://babel.hathitrust.org/cgi/pt?id=uva.x002588168&seq=57
11,38,https://babel.hathitrust.org/cgi/pt?id=mdp.39015034251762&seq=38,57,https://babel.hathitrust.org/cgi/pt?id=uva.x002588168&seq=57
12,38,https://babel.hathitrust.org/cgi/pt?id=mdp.39015034251762&seq=38,57,https://babel.hathitrust.org/cgi/pt?id=uva.x002588168&seq=57
13,38,https://babel.hathitrust.org/cgi/pt?id=mdp.39015034251762&seq=38,57,https://babel.hathitrust.org/cgi/pt?id=uva.x002588168&seq=57
14,38,https://babel.hathitrust.org/cgi/pt?id=mdp.39015034251762&seq=38,57,https://babel.hathitrust.org/cgi/pt?id=uva.x002588168&seq=57
15,38,https://babel.hathitrust.org/cgi/pt?id=mdp.39015034251762&seq=38,57,https://babel.hathitrust.org/cgi/pt?id=uva.x002588168&seq=57
16,38,https://babel.hathitrust.org/cgi/pt?id=mdp.39015034251762&seq=38,57,https://babel.hathitrust.org/cgi/pt?id=uva.x002588168&seq=57
17,38,https://babel.hathitrust.org/cgi/pt?id=mdp.39015034251762&seq=38,57,https://babel.hathitrust.org/cgi/pt?id=uva.x002588168&seq=57
18,38,https://babel.hathitrust.org/cgi/pt?id=mdp.39015034251762&seq=38,58,https://babel.hathitrust.org/cgi/pt?id=uva.x002588168&seq=58
19,38,https://babel.hathitrust.org/cgi/pt?id=mdp.39015034251762&seq=38,58,https://babel.hathitrust.org/cgi/pt?id=uva.x002588168&seq=58
20,38,https://babel.hathitrust.org/cgi/pt?id=mdp.39015034251762&seq=38,58,https://babel.hathitrust.org/cgi/pt?id=uva.x002588168&seq=58
21,39,https://babel.hathitrust.org/cgi/pt?id=mdp.39015034251762&seq=39,58,https://babel.hathitrust.org/cgi/pt?id=uva.x002588168&seq=58
22,39,https://babel.hathitrust.org/cgi/pt?id=mdp.39015034251762&seq=39,58,https://babel.hathitrust.org/cgi/pt?id=uva.x002588168&seq=58
23,39,https://babel.hathitrust.org/cgi/pt?id=mdp.39015034251762&seq=39,58,https://babel.hathitrust.org/cgi/pt?id=uva.x002588168&seq=58
24,39,https://babel.hathitrust.org/cgi/pt?id=mdp.39015034251762&seq=39,58,https://babel.hathitrust.org/cgi/pt?id=uva.x002588168&seq=58
25,39,https://babel.hathitrust.org/cgi/pt?id=mdp.39015034251762&seq=39,58,https://babel.hathitrust.org/cgi/pt?id=uva.x002588168&seq=58
26,39,https://babel.hathitrust.org/cgi/pt?id=mdp.39015034251762&seq=39,58,https://babel.hathitrust.org/cgi/pt?id=uva.x002588168&seq=58
27,39,https://babel.hathitrust.org/cgi/pt?id=mdp.39015034251762&seq=39,58,https://babel.hathitrust.org/cgi/pt?id=uva.x002588168&seq=58
28,39,https://babel.hathitrust.org/cgi/pt?id=mdp.39015034251762&seq=39,58,https://babel.hathitrust.org/cgi/pt?id=uva.x002588168&seq=58
29,39,https://babel.hathitrust.org/cgi/pt?id=mdp.39015034251762&seq=39,58,https://babel.hathitrust.org/cgi/pt?id=uva.x002588168&seq=58
30,39,https://babel.hathitrust.org/cgi/pt?id=mdp.39015034251762&seq=39,59,https://babel.hathitrust.org/cgi/pt?id=uva.x002588168&seq=59
